Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Last_Update
Washington,US,46.9291895,-122.8290656,100,1,0,99,2020-04-26 0:00:00
Washington,US,46.90022523,-117.5241763,14,0,0,14,2020-04-26 0:00:00
Michigan,US,46.89988536,-88.68495385,2,0,0,2,2020-04-27 2:30:52
Minnesota,US,46.89289518,-96.48761922,125,9,0,116,2020-04-27 2:30:52
Saint Pierre and Miquelon,France,46.8852,-56.3159,1,0,0,1,2020-04-27 2:30:33
,Mongolia,46.8625,103.8467,38,0,9,29,2020-04-27 2:30:33
,Switzerland,46.8182,8.2275,29061,1610,21800,5651,2020-04-27 2:30:33
Idaho,US,46.81587887,-116.7113698,4,0,0,4,2020-04-27 2:30:52
North Dakota,US,46.80851182,-102.6576326,41,2,0,39,2020-04-27 2:30:52
North Dakota,US,46.71681782,-101.2822377,24,2,0,22,2020-04-27 2:30:52
Michigan,US,46.6720582,-88.36363591,0,0,0,0,2020-04-27 2:30:52
Michigan,US,46.6652262,-89.31390481,0,0,0,0,2020-04-27 2:30:52
Maine,US,46.65926321,-68.59841248,4,0,0,4,2020-04-27 2:30:52
Minnesota,US,46.60962049,-93.4116826,1,0,0,1,2020-04-27 2:30:52
Montana,US,46.59907074,-110.8898557,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,46.59180601,-92.67601019,51,0,0,51,2020-04-27 2:30:52
Washington,US,46.57756476,-122.3925769,29,3,0,26,2020-04-26 0:00:00
New Brunswick,Canada,46.5653,-66.4619,118,0,0,118,2020-04-27 2:30:55
Washington,US,46.55418369,-123.7285716,4,0,0,4,2020-04-26 0:00:00
Washington,US,46.53351425,-118.9018212,251,5,0,246,2020-04-26 0:00:00
Wisconsin,US,46.52868768,-91.19716729,3,1,0,2,2020-04-27 2:30:52
Prince Edward Island,Canada,46.5107,-63.4168,26,0,0,26,2020-04-27 2:30:55
Montana,US,46.49684637,-108.39498,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,46.48096553,-94.06755609,20,0,0,20,2020-04-27 2:30:52
Michigan,US,46.47227431,-85.54471223,1,0,0,1,2020-04-27 2:30:52
Montana,US,46.46652491,-109.8464636,1,0,0,1,2020-04-27 2:30:52
Washington,US,46.45738486,-120.7380126,1015,44,0,971,2020-04-26 0:00:00
North Dakota,US,46.45621782,-97.65742504,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,46.44737738,-103.4601547,3,0,0,3,2020-04-27 2:30:52
Michigan,US,46.4338914,-87.64043701,42,7,0,35,2020-04-27 2:30:52
Wisconsin,US,46.43222285,-91.91595768,9,0,0,9,2020-04-27 2:30:52
Washington,US,46.43197502,-117.5454032,0,0,0,0,2020-04-26 0:00:00
Michigan,US,46.40862701,-89.69377193,4,1,0,3,2020-04-27 2:30:52
Minnesota,US,46.40846929,-95.70835255,8,0,0,8,2020-04-27 2:30:52
Montana,US,46.3816474,-109.1768522,3,0,0,3,2020-04-27 2:30:52
North Dakota,US,46.35821257,-101.6390013,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,46.35721532,-96.4684375,11,3,0,8,2020-04-27 2:30:52
Montana,US,46.33277565,-111.4955813,4,0,0,4,2020-04-27 2:30:52
Idaho,US,46.32638236,-116.7500975,58,13,0,45,2020-04-27 2:30:52
Wisconsin,US,46.31956891,-90.67837132,2,0,0,2,2020-04-27 2:30:52
Michigan,US,46.29552653,-84.54353449,2,0,0,2,2020-04-27 2:30:52
Washington,US,46.29442881,-117.9051983,1,0,0,1,2020-04-26 0:00:00
Washington,US,46.2918004,-123.4250831,2,0,0,2,2020-04-26 0:00:00
North Dakota,US,46.28398398,-100.2389766,1,1,0,0,2020-04-27 2:30:52
North Dakota,US,46.26440649,-96.94852979,7,0,0,7,2020-04-27 2:30:52
Wisconsin,US,46.26302338,-90.24295041,2,1,0,1,2020-04-27 2:30:52
Washington,US,46.23946995,-119.5120834,405,37,0,368,2020-04-26 0:00:00
Idaho,US,46.23315327,-116.434146,0,0,0,0,2020-04-27 2:30:52
Washington,US,46.23040051,-118.4775539,52,0,0,52,2020-04-26 0:00:00
,France,46.2276,2.2137,160847,22856,44903,93088,2020-04-27 2:30:33
Michigan,US,46.19235734,-86.19972234,3,0,0,3,2020-04-27 2:30:52
Washington,US,46.19074721,-122.6782231,39,0,0,39,2020-04-26 0:00:00
Washington,US,46.18894415,-117.2022851,17,1,0,16,2020-04-26 0:00:00
,Slovenia,46.1512,14.9955,1396,82,221,1093,2020-04-27 2:30:33
Montana,US,46.14907081,-112.094396,2,0,0,2,2020-04-27 2:30:52
Minnesota,US,46.12105238,-92.74070188,52,0,0,52,2020-04-27 2:30:52
North Dakota,US,46.11323337,-101.0440149,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,46.11285362,-103.5203343,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,46.11182017,-99.44145858,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,46.10830372,-97.63217159,1,0,0,1,2020-04-27 2:30:52
Montana,US,46.08520862,-114.1189164,5,0,0,5,2020-04-27 2:30:52
Michigan,US,46.07028979,-85.04980537,5,0,0,5,2020-04-27 2:30:52
Minnesota,US,46.06996226,-94.89785296,3,0,0,3,2020-04-27 2:30:52
Montana,US,46.05953325,-113.073353,3,0,0,3,2020-04-27 2:30:52
Wisconsin,US,46.05467334,-89.51719204,4,0,0,4,2020-04-27 2:30:52
Washington,US,46.02408726,-121.9164403,3,0,0,3,2020-04-26 0:00:00
Minnesota,US,46.01265363,-94.27341528,1,0,0,1,2020-04-27 2:30:52
Michigan,US,46.00999672,-87.86961634,3,2,0,1,2020-04-27 2:30:52
Oregon,US,45.99712889,-123.660711,6,0,0,6,2020-04-27 2:30:52
Oregon,US,45.94464254,-123.0890898,14,0,0,14,2020-04-27 2:30:52
,Romania,45.9432,24.9668,11036,619,3054,7363,2020-04-27 2:30:33
Montana,US,45.93955949,-108.2691486,78,1,0,77,2020-04-27 2:30:52
Minnesota,US,45.93705297,-93.63236823,1,1,0,0,2020-04-27 2:30:52
Minnesota,US,45.93348491,-95.45335469,2,0,0,2,2020-04-27 2:30:52
Michigan,US,45.9048491,-86.9080745,12,2,0,10,2020-04-27 2:30:52
Montana,US,45.90018933,-112.6620092,11,0,0,11,2020-04-27 2:30:52
Wisconsin,US,45.89838588,-91.79050449,1,0,0,1,2020-04-27 2:30:52
Wisconsin,US,45.87931905,-91.14504927,3,0,0,3,2020-04-27 2:30:52
Washington,US,45.87325839,-120.7913598,16,3,0,13,2020-04-26 0:00:00
